feature,importance
wavelength_623.17,0.0
wavelength_621.05,0.0
wavelength_618.93,0.0
wavelength_616.81,0.0
wavelength_614.69,0.0
wavelength_650.82,0.0
wavelength_652.95,0.0
wavelength_655.08,0.0
wavelength_674.32,0.0
wavelength_376.18,0.0
wavelength_685.02,0.0
wavelength_682.88,0.0
wavelength_680.74,0.0
wavelength_678.6,0.0
wavelength_676.46,0.0
wavelength_672.18,0.0
wavelength_657.22,0.0
wavelength_670.04,0.0
wavelength_667.9,0.0
wavelength_665.76,0.0
wavelength_663.62,0.0
wavelength_661.48,0.0
wavelength_659.36,0.0
wavelength_612.58,0.0
wavelength_610.46,0.0
wavelength_608.34,0.0
wavelength_551.48,0.0
wavelength_564.08,0.0
wavelength_561.98,0.0
wavelength_559.88,0.0
wavelength_557.78,0.0
wavelength_555.67,0.0
wavelength_553.58,0.0
wavelength_549.4,0.0
wavelength_568.28,0.0
wavelength_547.3,0.0
wavelength_545.2,0.0
wavelength_543.11,0.0
wavelength_541.02,0.0
wavelength_538.93,0.0
wavelength_536.84,0.0
wavelength_566.17,0.0
wavelength_570.38,0.0
wavelength_606.23,0.0
wavelength_591.43,0.0
wavelength_604.11,0.0
wavelength_602.0,0.0
wavelength_599.88,0.0
wavelength_597.77,0.0
wavelength_595.66,0.0
wavelength_593.55,0.0
wavelength_589.33,0.0
wavelength_572.48,0.0
wavelength_587.22,0.0
wavelength_585.11,0.0
wavelength_583.0,0.0
wavelength_580.9,0.0
wavelength_576.68,0.0
wavelength_574.58,0.0
wavelength_1015.32,0.0
